GlobalTick;ProblemType;ResourceType;PmId;VmId;AppId;CPUAll;MEMAll;STORAll;CPUUse;MEMUse;STORUse
2817;wasteOfResources;VM;2;2;;48;40;28;38;19;16;
2831;wasteOfResources;VM;2;4;;30;31;22;34;23;14;
2832;wasteOfResources;VM;2;4;;30;31;22;37;24;14;
2849;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2867;wasteOfResources;VM;2;2;;49;35;31;33;25;12;
2868;wasteOfResources;VM;2;2;;49;35;31;29;26;21;
2882;wasteOfResources;VM;2;4;;30;31;22;39;25;14;
2883;wasteOfResources;VM;2;4;;30;31;22;42;24;14;
2884;wasteOfResources;VM;2;4;;30;31;22;37;25;13;
2885;wasteOfResources;VM;2;4;;30;31;22;38;26;12;
2886;wasteOfResources;VM;2;4;;30;31;22;43;24;14;
2887;wasteOfResources;VM;2;4;;30;31;22;42;24;13;
2899;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2918;wasteOfResources;VM;2;2;;46;36;30;37;19;18;
2937;wasteOfResources;VM;2;4;;30;31;22;37;22;12;
2938;wasteOfResources;VM;2;4;;30;31;22;40;25;12;
2949;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2950;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2951;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
2968;wasteOfResources;VM;2;2;;47;37;26;33;19;18;
2988;wasteOfResources;VM;2;4;;30;31;21;42;29;13;
3001;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
3018;wasteOfResources;VM;2;2;;48;37;29;5;5;2;
3038;wasteOfResources;VM;2;4;;30;31;22;39;25;14;
3039;wasteOfResources;VM;2;4;;30;31;22;38;23;13;
3051;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
3052;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
3067;newApp;APP;;;20;;;;0;0;0
3068;wasteOfResources;VM;2;2;;15;15;9;5;5;2;
3069;wasteOfResources;VM;2;2;;15;15;9;5;5;2;
3070;wasteOfResources;VM;2;2;;15;15;9;5;5;2;
3075;newApp;APP;;;21;;;;0;0;0
3076;newApp;APP;;;22;;;;0;0;0
3077;newApp;APP;;;23;;;;0;0;0
3078;newApp;APP;;;24;;;;0;0;0
3089;wasteOfResources;VM;2;4;;30;31;23;38;25;13;
3102;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
3103;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
3110;wasteOfResources;VM;1;5;;22;52;13;37;20;16;
3111;slaViolation;APP;2;5;20;22;52;13;32;15;14
3112;slaViolation;APP;2;5;20;22;52;13;32;15;14
3113;slaViolation;APP;1;6;20;22;52;13;32;15;14
3114;slaViolation;APP;1;6;20;22;52;13;32;15;14
3118;wasteOfResources;VM;1;6;;22;52;13;32;14;14;
3120;wasteOfResources;VM;2;2;;15;15;9;5;5;2;
3139;wasteOfResources;VM;2;4;;30;31;22;40;25;13;
3156;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
3157;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
3158;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
3159;wasteOfResources;VM;2;1;;15;15;9;5;5;2;
3160;wasteOfResources;VM;1;1;;15;15;9;5;5;2;
3168;wasteOfResources;VM;1;6;;22;33;13;37;23;18;
3169;wasteOfResources;VM;1;6;;22;33;13;35;23;19;
3170;slaViolation;APP;2;6;20;22;33;13;30;18;17
3171;slaViolation;APP;1;7;20;22;52;13;30;18;17
3172;slaViolation;APP;1;7;20;22;52;13;30;18;17
3173;slaViolation;APP;3;8;20;22;52;13;30;18;17
3174;slaViolation;APP;3;9;20;22;52;13;30;18;17
3175;slaViolation;APP;3;9;20;22;52;13;30;18;17
3176;slaViolation;APP;3;9;20;22;52;13;30;18;17
3177;slaViolation;APP;2;10;20;22;52;13;30;18;17
3178;slaViolation;APP;1;11;20;22;52;13;30;18;17
3179;slaViolation;APP;1;11;20;22;52;13;30;18;17
3180;wasteOfResources;VM;2;2;;15;15;9;5;5;2;
3181;wasteOfResources;VM;1;2;;15;15;9;5;5;2;
3183;wasteOfResources;VM;1;11;;22;52;13;43;21;17;
3184;wasteOfResources;VM;1;11;;22;52;13;52;22;16;
3185;wasteOfResources;VM;1;11;;22;52;13;34;24;19;
3189;wasteOfResources;VM;2;4;;30;31;22;38;23;12;
3190;slaViolation;APP;1;4;11;30;31;22;33;18;10
3191;slaViolation;APP;1;4;11;30;31;22;33;18;10
3192;slaViolation;APP;1;4;11;30;31;22;33;18;10
