GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId;Evaluation
18933;4;215;;ChangeVmConfiguration;true;1;0;;;0.0
18934;5;211;;DoNothing;true;0;0;;;0.0
18935;5;211;;ChangeVmConfiguration;true;1;0;;;0.0
18936;5;188;;DoNothing;true;0;0;;;0.0
18937;5;188;;ChangeVmConfiguration;true;1;0;;;0.0
18938;5;100;;ChangeVmConfiguration;true;1;0;;;0.0
18939;4;214;;ChangeVmConfiguration;true;1;0;;;0.0
18940;5;151;;ChangeVmConfiguration;true;1;0;;;0.0
18941;6;110;;ChangeVmConfiguration;true;1;0;;;0.0
18942;5;178;;DoNothing;true;0;0;;;0.0
18943;4;210;;DoNothing;true;0;0;;;0.0
18944;4;210;;ChangeVmConfiguration;true;1;0;;;0.0
18945;5;178;;ChangeVmConfiguration;true;1;0;;;0.0
18946;2;195;;ChangeVmConfiguration;true;1;0;;;0.0
18947;5;82;;DoNothing;true;0;0;;;0.0
18948;5;82;;DoNothing;true;0;0;;;0.0
18949;5;82;;DoNothing;true;0;0;;;0.0
18950;5;82;;DoNothing;true;0;0;;;0.0
18951;5;82;;ChangeVmConfiguration;true;1;0;;;0.0
18952;6;97;;DoNothing;true;0;0;;;0.0
18953;3;216;;ChangeVmConfiguration;true;1;0;;;0.0
18954;6;97;;DoNothing;true;0;0;;;0.0
18955;4;206;;DoNothing;true;0;0;;;0.0
18956;4;206;;ChangeVmConfiguration;true;1;0;;;0.0
18957;6;97;;DoNothing;true;0;0;;;0.0
18958;6;97;;ChangeVmConfiguration;true;1;0;;;0.0
18959;6;186;;ChangeVmConfiguration;true;1;0;;;0.0
18960;6;64;;ChangeVmConfiguration;true;1;0;;;0.0
18961;6;204;;ChangeVmConfiguration;true;1;0;;;0.0
18962;6;60;;ChangeVmConfiguration;true;1;0;;;0.0
18963;7;208;;DoNothing;true;0;0;;;0.0
18964;7;208;;ChangeVmConfiguration;true;1;0;;;0.0
18965;7;193;;ChangeVmConfiguration;true;1;0;;;0.0
18966;7;194;;ChangeVmConfiguration;true;1;0;;;0.0
18967;2;217;;DoNothing;true;0;0;;;0.0
18968;2;217;;ChangeVmConfiguration;true;1;0;;;0.0
18969;7;74;;DoNothing;true;0;0;;;0.0
18970;7;74;;ChangeVmConfiguration;true;1;0;;;0.0
18971;2;1;;ChangeVmConfiguration;true;1;0;;;0.0
18972;;;176;Outsource;true;50;0;;;0.0
18973;2;72;;DoNothing;true;0;0;;;0.0
18974;2;72;;DoNothing;true;0;0;;;0.0
18975;2;72;;DoNothing;true;0;0;;;0.0
18976;2;72;;DoNothing;true;0;0;;;0.0
18977;2;72;;DoNothing;true;0;0;;;0.0
18978;2;72;;DoNothing;true;0;0;;;0.0
18979;2;72;;DoNothing;true;0;0;;;0.0
18980;2;72;;DoNothing;true;0;0;;;0.0
18981;2;72;;ChangeVmConfiguration;true;1;0;;;0.0
18982;3;185;;ChangeVmConfiguration;true;1;0;;;0.0
18983;3;205;;DoNothing;true;0;0;;;0.0
18984;3;205;;ChangeVmConfiguration;true;1;0;;;0.0
18985;3;54;;DoNothing;true;0;0;;;0.0
18986;3;54;;ChangeVmConfiguration;true;1;0;;;0.0
18987;3;137;;ChangeVmConfiguration;true;1;0;;;0.0
18988;4;213;;DoNothing;true;0;0;;;0.0
18989;4;213;;ChangeVmConfiguration;true;1;0;;;0.0
18990;4;209;;ChangeVmConfiguration;true;1;0;;;0.0
18991;4;215;;ChangeVmConfiguration;true;1;0;;;0.0
18992;4;214;;ChangeVmConfiguration;true;1;0;;;0.0
18993;5;211;;ChangeVmConfiguration;true;1;0;;;0.0
18994;4;210;;ChangeVmConfiguration;true;1;0;;;0.0
18995;5;178;;ChangeVmConfiguration;true;1;0;;;0.0
18996;2;195;;ChangeVmConfiguration;true;1;0;;;0.0
18997;5;188;;DoNothing;true;0;0;;;0.0
18998;5;188;;ChangeVmConfiguration;true;1;0;;;0.0
18999;5;100;;DoNothing;true;0;0;;;0.0
19000;5;100;;DoNothing;true;0;0;;;0.0
19001;5;82;;ChangeVmConfiguration;true;1;0;;;0.0
19002;5;100;;DoNothing;true;0;0;;;0.0
19003;3;216;;ChangeVmConfiguration;true;1;0;;;0.0
19004;5;100;;DoNothing;true;0;0;;;0.0
19005;5;100;;ChangeVmConfiguration;true;1;0;;;0.0
19006;4;206;;DoNothing;true;0;0;;;0.0
19007;4;206;;ChangeVmConfiguration;true;1;0;;;0.0
19008;5;151;;ChangeVmConfiguration;true;1;0;;;0.0
19009;6;110;;ChangeVmConfiguration;true;1;0;;;0.0
19010;6;97;;ChangeVmConfiguration;true;1;0;;;0.0
19011;6;186;;ChangeVmConfiguration;true;1;0;;;0.0
19012;6;64;;DoNothing;true;0;0;;;0.0
19013;6;64;;DoNothing;true;0;0;;;0.0
19014;6;64;;ChangeVmConfiguration;true;1;0;;;0.0
19015;6;204;;ChangeVmConfiguration;true;1;0;;;0.0
19016;6;60;;DoNothing;true;0;0;;;0.0
19017;6;60;;DoNothing;true;0;0;;;0.0
19018;2;217;;ChangeVmConfiguration;true;1;0;;;0.0
19019;;;177;ChangeVmConfiguration;true;1;0;;;0.0
19020;1;218;178;CreateVmInsertApp;true;20;1543;1;;0.0
19021;2;1;;ChangeVmConfiguration;true;1;0;;;0.0
19022;6;60;;DoNothing;true;0;0;;;0.0
19023;6;60;;ChangeVmConfiguration;true;1;0;;;0.0
19024;7;208;;ChangeVmConfiguration;true;1;0;;;0.0
19025;7;193;;ChangeVmConfiguration;true;1;0;;;0.0
19026;1;194;;MoveVm;true;4;90;1;;0.0
19027;7;194;;MoveVm;true;4;5;7;;0.0
19028;7;74;;ChangeVmConfiguration;true;1;0;;;0.0
19029;1;202;;MoveVm;true;4;9;1;;0.0
19030;1;202;;ChangeVmConfiguration;true;1;13;;;0.0
19026;7;194;;MoveVm;true;4;86;1;;0.011764705882352941
19027;7;194;;MoveVm;true;4;52;7;;0.011764705882352941
19031;2;72;;ChangeVmConfiguration;true;1;0;;;0.0
19032;3;185;;DoNothing;true;0;0;;;0.0
19033;3;185;;ChangeVmConfiguration;true;1;0;;;0.0
19034;7;205;;MoveVm;true;4;32;7;;0.0
19035;7;207;;ChangeVmConfiguration;true;1;0;;;0.0
19036;3;54;;DoNothing;true;0;0;;;0.0
19037;;;179;Outsource;true;50;0;;;0.0
19034;7;205;;MoveVm;true;4;51;7;;0.011764705882352941
19038;1;54;;MoveVm;true;4;8;1;;0.0
19039;3;54;;MoveVm;true;4;100;3;;0.0
19040;1;137;;MoveVm;true;4;14;1;;0.0
19041;1;137;;ChangeVmConfiguration;true;1;13;;;0.0
19042;3;54;;DoNothing;true;0;12;;;0.0
19038;3;54;;MoveVm;true;4;58;1;;0.011764705882352941
19039;3;54;;MoveVm;true;4;57;3;;0.09607843137254903
19043;3;54;;DoNothing;true;0;12;;;0.0
19029;1;202;;MoveVm;true;4;68;1;;0.041176470588235294
19040;1;137;;MoveVm;true;4;5;1;;0.041176470588235294
19044;3;54;;DoNothing;true;0;12;;;0.0
19045;3;54;;DoNothing;true;0;12;;;0.0
19046;2;195;;ChangeVmConfiguration;true;1;0;;;0.0
19047;3;54;;DoNothing;true;0;12;;;0.0
19048;1;54;;MoveVm;true;4;65;1;;0.0
19049;1;54;;DoNothing;true;0;12;;;0.0
19050;3;54;;MoveVm;true;4;41;3;;0.0
19051;3;54;;DoNothing;true;0;12;;;0.0
19052;3;54;;DoNothing;true;0;12;;;0.0
19020;1;218;178;CreateVmInsertApp;true;20;1543;1;;-5.780392156862745
19053;3;216;;ChangeVmConfiguration;true;1;0;;;0.0
19048;3;54;;MoveVm;true;4;56;1;;0.08823529411764706
19050;3;54;;MoveVm;true;4;7;3;;0.10392156862745099
19054;;;180;Outsource;true;50;0;;;0.0
19055;3;54;;ChangeVmConfiguration;true;1;25;;;0.0
19056;4;213;;ChangeVmConfiguration;true;1;0;;;0.0
19057;4;209;;ChangeVmConfiguration;true;1;0;;;0.0
19058;4;215;;DoNothing;true;0;0;;;0.0
19059;3;215;;MoveVm;true;4;51;3;;0.0
19060;4;215;;MoveVm;true;4;44;4;;0.0
19061;4;214;;DoNothing;true;0;0;;;0.0
19062;3;214;;MoveVm;true;4;79;3;;0.0
19063;1;218;;ChangeVmConfiguration;true;1;0;;;0.0
19059;4;215;;MoveVm;true;4;87;3;;0.09411764705882353
19060;4;215;;MoveVm;true;4;19;4;;0.011764705882352941
19064;3;214;;ChangeVmConfiguration;true;1;16;;;0.0
19065;4;210;;ChangeVmConfiguration;true;1;0;;;0.0
19062;3;214;;MoveVm;true;4;69;3;;0.09803921568627451
19066;3;206;;MoveVm;true;4;1;3;;0.0
19067;3;206;;ChangeVmConfiguration;true;1;13;;;0.0
19068;2;217;;DoNothing;true;0;0;;;0.0
19069;2;217;;ChangeVmConfiguration;true;1;0;;;0.0
19066;3;206;;MoveVm;true;4;26;3;;0.09803921568627451
19070;4;215;;ChangeVmConfiguration;true;1;19;;;0.0
19071;2;1;;ChangeVmConfiguration;true;1;0;;;0.0
19072;5;211;;DoNothing;true;0;0;;;0.0
19073;5;211;;DoNothing;true;0;0;;;0.0
19074;5;211;;DoNothing;true;0;0;;;0.0
