@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
20,20,80,10,20,10,20,20,50,60,70,70,30,30,90,40,40,40,50,20,50,-19.72549
0,0,60,0,10,0,0,0,20,40,40,30,0,0,60,20,20,20,50,20,50,-19.745098
0,0,60,0,10,0,0,0,20,40,40,30,0,0,60,20,20,20,50,20,50,-19.941176
20,20,80,10,20,10,20,20,50,60,70,60,30,30,90,40,40,40,50,20,50,-19.72549
0,0,60,0,10,0,0,0,20,40,40,30,0,0,60,20,20,20,50,20,50,-19.745098
30,30,90,0,10,0,30,30,50,40,40,30,10,10,70,20,20,20,50,20,50,-19.698039
0,0,60,0,0,10,0,0,20,40,30,20,0,0,60,10,20,10,50,20,50,-31.941176
0,0,60,0,0,10,0,0,20,40,30,20,0,0,60,10,20,10,50,20,50,-31.941176
0,0,60,0,0,10,0,0,20,40,30,20,0,0,60,10,20,10,50,20,50,-31.941176
0,0,60,0,0,10,0,0,20,40,30,20,0,0,60,10,20,10,50,20,50,-31.729412
0,0,60,0,0,10,0,0,20,40,30,20,0,0,60,10,20,10,50,20,50,-31.941176
0,0,60,0,0,10,0,0,20,40,30,20,0,0,60,10,20,10,50,20,50,-31.941176
0,0,60,0,0,10,0,0,20,40,30,20,0,0,60,10,20,10,50,20,50,-31.941176
0,0,20,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,20,20,10,-5.709804
20,20,80,20,20,30,30,30,60,10,10,10,20,20,50,10,10,10,50,20,30,0.47451
0,0,60,0,0,0,0,0,20,0,0,0,0,0,30,0,0,0,50,20,30,-5.705882
0,0,60,20,20,30,0,0,30,10,10,10,0,0,30,10,10,0,50,20,30,-6.737255
40,40,70,40,50,50,20,20,50,40,40,30,20,20,40,20,20,30,20,20,10,-8.498039
70,70,100,30,50,40,60,60,90,30,30,30,40,40,60,10,20,20,20,20,10,-8.741176
40,40,70,40,50,50,20,20,50,40,30,30,20,20,40,20,20,20,20,20,10,-8.494118
40,40,100,30,40,50,20,20,90,30,40,30,20,20,60,20,20,30,20,20,10,-8.494118
40,40,90,30,20,20,30,30,60,10,10,10,20,20,80,10,10,10,30,20,50,0.498039
0,0,50,0,0,0,0,0,50,0,0,0,0,0,40,0,0,0,50,50,30,-5.627451
40,40,70,20,30,20,20,20,50,20,30,30,20,20,40,10,0,10,20,20,10,-10.941176
40,40,90,20,30,20,20,20,90,20,30,30,20,20,60,10,0,10,20,20,10,-10.941176
50,50,70,40,60,40,50,50,80,60,60,60,30,30,50,30,20,30,20,20,10,-10.611765
50,50,80,40,50,40,40,40,70,30,40,40,30,30,50,30,20,20,20,20,10,-10.517647
60,60,100,30,20,30,70,70,90,50,20,20,40,40,90,10,20,20,30,20,50,0.596078
0,0,60,0,0,0,0,0,20,0,0,0,0,0,60,0,0,0,50,20,50,-5.443137
40,40,80,20,30,20,50,50,100,30,30,20,30,30,70,10,10,10,20,40,30,0.576471
0,0,30,10,10,10,0,0,20,20,20,20,0,0,50,20,20,20,30,20,50,-9.941176
40,40,80,10,10,10,40,40,70,20,20,20,20,20,80,20,20,20,30,20,50,-9.713725
0,0,50,0,0,0,0,0,20,0,0,0,0,0,50,0,0,0,50,10,50,-5.729412
40,40,100,10,10,10,40,40,70,20,20,20,40,40,60,20,10,20,50,20,20,0.466667
