@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
0,0,70,0,0,0,0,0,80,0,0,0,0,0,40,0,0,0,50,20,20,-5.584314
30,30,60,40,20,30,60,60,90,10,10,20,20,20,70,40,40,60,20,20,40,-13.568627
0,0,60,0,0,0,0,0,60,0,0,0,0,0,20,0,0,0,60,50,10,-5.796078
0,0,30,0,0,0,0,0,30,0,0,0,0,0,50,0,0,0,20,30,50,-5.784314
40,40,60,0,0,0,40,40,80,0,0,0,40,40,70,20,20,20,20,30,30,0.403922
0,0,40,0,0,0,0,0,50,0,0,0,0,0,30,0,0,0,40,50,20,-5.639216
30,30,80,0,0,0,30,30,90,0,0,0,10,10,40,0,0,0,50,50,20,0.235294
60,60,70,0,0,0,50,50,70,0,0,0,40,40,70,0,0,0,20,20,40,0.239216
60,60,80,10,10,10,50,50,90,0,10,10,40,40,80,20,30,20,20,30,30,0.466667
0,0,30,0,0,0,0,0,60,0,0,0,0,0,50,0,0,0,30,50,50,-5.72549
30,30,70,20,20,20,30,30,40,10,10,10,30,30,70,20,20,20,30,10,40,0.513725
50,50,80,20,20,20,40,40,60,10,10,10,40,40,80,10,20,20,30,10,40,0.486275
0,0,20,0,0,0,0,0,50,0,0,0,0,0,10,0,0,0,20,50,10,-5.713725
0,0,20,30,30,30,0,0,50,0,0,0,0,0,10,20,10,10,20,50,10,-7.941176
0,0,20,30,30,30,0,0,50,0,0,0,0,0,10,20,10,10,20,50,10,-7.941176
60,60,80,50,40,30,40,40,100,20,20,30,40,40,60,30,30,30,20,50,10,-7.533333
10,10,50,10,0,0,10,10,30,20,20,20,0,0,50,10,10,10,30,10,40,-6.752941
10,10,80,10,0,0,10,10,50,20,20,20,0,0,90,10,10,10,30,10,40,-6.752941
0,0,30,10,0,0,0,0,10,20,20,20,0,0,40,10,10,10,30,10,40,-6.941176
10,10,50,10,0,0,10,10,30,20,20,20,0,0,50,10,10,10,30,10,40,-6.752941
10,10,80,10,0,0,10,10,50,20,20,20,0,0,90,10,10,10,30,10,40,-6.752941
10,10,50,10,0,10,10,10,30,10,20,20,0,0,50,10,10,10,30,10,40,-6.760784
10,10,80,10,0,10,10,10,50,10,20,20,0,0,90,10,10,10,30,10,40,-6.760784
0,0,30,10,10,10,0,0,10,20,20,10,0,0,40,10,10,10,30,10,40,-6.760784
0,0,70,10,10,10,0,0,30,20,20,10,0,0,80,10,10,10,30,10,40,-6.760784
40,40,80,10,10,10,30,30,60,20,10,10,30,30,80,10,10,10,30,20,40,-0.564706
60,60,90,10,10,10,40,40,60,20,10,20,40,40,90,10,10,10,30,10,40,-8.941176
60,60,100,50,50,50,50,50,70,60,50,40,50,50,90,40,50,50,30,10,40,-8.309804
30,30,60,10,10,0,30,30,40,20,20,20,10,10,60,20,10,20,30,10,40,-10.768627
30,30,60,40,40,40,20,20,80,20,30,30,30,30,50,30,50,30,20,50,10,-9.701961
50,50,80,20,20,20,40,40,60,40,40,40,40,40,80,30,30,30,30,10,40,-13.686275
50,50,80,30,30,40,30,30,80,30,30,30,50,50,70,30,40,30,20,50,10,-15.941176
0,0,20,20,20,30,0,0,50,10,10,10,0,0,10,20,20,10,20,50,10,-15.713725
0,0,20,20,20,30,0,0,50,10,10,10,0,0,10,20,20,10,20,50,10,-15.941176
50,50,80,40,30,40,30,30,80,30,30,30,50,50,70,30,40,20,20,50,10,-15.941176
50,50,70,40,30,50,40,40,90,30,30,40,40,40,60,40,40,20,20,50,10,-15.713725
0,0,20,20,20,30,0,0,50,10,10,10,0,0,10,20,20,10,20,50,10,-15.74902
50,50,80,40,30,40,30,30,80,40,30,30,50,50,70,30,30,20,20,50,10,-15.941176
50,50,70,40,40,40,40,40,90,30,30,30,40,40,60,40,40,30,20,50,10,-15.713725
10,10,50,0,20,10,10,10,30,10,20,20,0,0,50,10,10,10,30,10,40,-14.482353
