GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId;Evaluation
1441;3;13;;MoveVm;true;4;24;3;;0.0
1442;6;1;;MoveVm;true;4;69;6;;0.0
1443;1;;;ChangeVmConfiguration;true;1;0;;;0.0
1444;1;;;ChangeVmConfiguration;true;1;0;;;0.0
1441;3;13;;MoveVm;true;4;85;3;;0.3352941176470588
1445;1;;;TurnOffPmAndMoveVms;true;0;0;;;0.0
1442;6;1;;MoveVm;true;4;69;6;;0.3686274509803922
1445;1;;;TurnOffPmAndMoveVms;true;0;0;;;0.0
1446;3;13;;DoNothing;true;0;9;;;0.0
1447;3;13;;DoNothing;true;0;9;;;0.0
1448;3;13;;DoNothing;true;0;9;;;0.0
1449;3;8;;DoNothing;true;0;0;;;0.0
1450;3;8;;ChangeVmConfiguration;true;1;0;;;0.0
1451;3;13;;ChangeVmConfiguration;true;1;19;;;0.0
1452;4;14;;DoNothing;true;0;0;;;0.0
1453;4;14;;ChangeVmConfiguration;true;1;0;;;0.0
1454;6;1;;DoNothing;true;0;3;;;0.0
1455;6;1;;ChangeVmConfiguration;true;1;0;;;0.0
1456;5;27;;DoNothing;true;0;0;;;0.0
1457;5;27;;ChangeVmConfiguration;true;1;0;;;0.0
1473;6;4;;ChangeVmConfiguration;true;1;0;;;0.0
1474;4;2;;ChangeVmConfiguration;true;1;0;;;0.0
1491;5;9;;DoNothing;true;0;0;;;0.0
1492;5;9;;ChangeVmConfiguration;true;1;0;;;0.0
1500;5;8;;MoveVm;true;4;4;5;;0.0
1501;3;13;;DoNothing;true;0;0;;;0.0
1502;3;13;;ChangeVmConfiguration;true;1;0;;;0.0
1503;3;14;;MoveVm;true;4;98;3;;0.0
1500;5;8;;MoveVm;true;4;96;5;;0.3941176470588235
1504;3;14;;ChangeVmConfiguration;true;1;13;;;0.0
1505;4;8;;MoveVm;true;4;5;4;;0.0
1506;4;8;;DoNothing;true;0;12;;;0.0
1503;3;14;;MoveVm;true;4;46;3;;0.3431372549019608
1507;4;8;;ChangeVmConfiguration;true;1;25;;;0.0
1508;6;1;;ChangeVmConfiguration;true;1;0;;;0.0
1505;4;8;;MoveVm;true;4;75;4;;0.3215686274509804
1509;4;27;;MoveVm;true;4;32;4;;0.0
1510;5;28;7;CreateVmInsertApp;true;3;-487;5;;0.0
1511;1;29;7;CreateVmInsertApp;true;20;-461;1;;0.0
1512;1;29;7;ChangeVmConfiguration;true;1;0;;;0.0
1509;4;27;;MoveVm;true;4;42;4;;0.2235294117647059
1513;1;29;7;DoNothing;true;0;12;;;0.0
1514;1;29;7;ChangeVmConfiguration;true;1;0;;;0.0
1515;1;29;7;DoNothing;true;0;18;;;0.0
1516;1;29;7;ChangeVmConfiguration;true;1;0;;;0.0
1517;1;30;7;CreateVmInsertApp;true;3;-1398;1;;0.0
