GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId
1554;;;33;MoveApp;false;5;86;;;0
1554;;;33;MoveVm;false;0;41;;;0
1554;;;33;DoNothing;true;0;0;;;0
1554;;;33;Outsource;true;50;0;;;0
1554;;;33;TurnOffPmAndMoveVms;false;0;36;;;0
1555;;;34;CreateVmInsertApp;false;0;53;;;0
1555;;;34;CreateAppInsertIntoVm;true;3;61;;5;3
1555;;;34;MoveApp;false;5;44;;;0
1555;;;34;MoveVm;false;0;64;;;0
1555;;;34;DoNothing;true;0;0;;;0
1555;;;34;Outsource;true;50;0;;;0
1555;;;34;TurnOffPmAndMoveVms;false;0;50;;;0
1556;;;35;CreateVmInsertApp;false;0;72;;;0
1556;;;35;CreateAppInsertIntoVm;true;3;44;;6;3
1556;;;35;MoveApp;false;5;9;;;0
1556;;;35;MoveVm;false;0;11;;;0
1556;;;35;DoNothing;true;0;0;;;0
1556;;;35;Outsource;true;50;0;;;0
1556;;;35;TurnOffPmAndMoveVms;false;0;63;;;0
1557;;;36;CreateVmInsertApp;false;0;29;;;0
1557;;;36;CreateAppInsertIntoVm;true;3;27;;8;3
1557;;;36;MoveApp;false;5;100;;;0
1557;;;36;MoveVm;false;0;2;;;0
1557;;;36;DoNothing;true;0;0;;;0
1557;;;36;Outsource;true;50;0;;;0
1557;;;36;TurnOffPmAndMoveVms;false;0;80;;;0
1558;;;37;CreateVmInsertApp;false;0;58;;;0
1558;;;37;CreateAppInsertIntoVm;true;3;76;;6;3
1558;;;37;MoveApp;false;5;90;;;0
1558;;;37;MoveVm;false;0;34;;;0
1558;;;37;DoNothing;true;0;0;;;0
1558;;;37;Outsource;true;50;0;;;0
1558;;;37;TurnOffPmAndMoveVms;false;0;9;;;0
1559;;;38;CreateVmInsertApp;false;0;9;;;0
1559;;;38;CreateAppInsertIntoVm;true;3;40;;7;3
1559;;;38;MoveApp;false;5;82;;;1
1559;;;38;MoveVm;false;0;92;;;0
1559;;;38;DoNothing;true;0;0;;;0
1559;;;38;Outsource;true;50;0;;;0
1559;;;38;TurnOffPmAndMoveVms;false;0;54;;;0
1564;;;39;CreateVmInsertApp;false;0;22;;;0
1564;;;39;CreateAppInsertIntoVm;true;3;14;;8;3
1564;;;39;MoveApp;false;5;87;;;0
1564;;;39;MoveVm;false;0;13;;;0
1564;;;39;DoNothing;true;0;0;;;0
1564;;;39;Outsource;true;50;0;;;0
1564;;;39;TurnOffPmAndMoveVms;false;0;84;;;0
1686;;;40;CreateVmInsertApp;false;0;3;;;0
1686;;;40;CreateAppInsertIntoVm;true;3;16;;5;3
1686;;;40;MoveApp;false;5;35;;;0
1686;;;40;MoveVm;false;0;7;;;0
1686;;;40;DoNothing;true;0;0;;;0
1686;;;40;Outsource;true;50;0;;;0
1686;;;40;TurnOffPmAndMoveVms;false;0;49;;;0
1687;;;41;CreateVmInsertApp;false;0;83;;;1
1687;;;41;CreateAppInsertIntoVm;true;3;56;;9;3
1687;;;41;MoveApp;false;5;21;;;0
1687;;;41;MoveVm;false;0;7;;;0
1687;;;41;DoNothing;true;0;0;;;0
1687;;;41;Outsource;true;50;0;;;0
1687;;;41;TurnOffPmAndMoveVms;false;0;53;;;0
1871;;;42;CreateVmInsertApp;false;0;14;;;1
1871;;;42;CreateAppInsertIntoVm;true;3;55;;8;3
1871;;;42;MoveApp;false;5;67;;;0
1871;;;42;MoveVm;false;0;13;;;0
1871;;;42;DoNothing;true;0;0;;;0
1871;;;42;Outsource;true;50;0;;;0
1871;;;42;TurnOffPmAndMoveVms;false;0;1;;;0
1908;;;43;CreateVmInsertApp;false;0;65;;;0
1908;;;43;CreateAppInsertIntoVm;true;3;15;;3;3
1908;;;43;MoveApp;false;5;58;;;0
1908;;;43;MoveVm;false;0;5;;;0
1908;;;43;DoNothing;true;0;0;;;0
1908;;;43;Outsource;true;50;0;;;0
1908;;;43;TurnOffPmAndMoveVms;false;0;56;;;0
1909;;;44;CreateVmInsertApp;false;0;21;;;0
1909;;;44;CreateAppInsertIntoVm;true;3;33;;5;3
1909;;;44;MoveApp;false;5;48;;;1
1909;;;44;MoveVm;false;0;45;;;0
1909;;;44;DoNothing;true;0;0;;;0
1909;;;44;Outsource;true;50;0;;;0
1909;;;44;TurnOffPmAndMoveVms;false;0;23;;;0
1910;;;45;CreateVmInsertApp;false;0;94;;;0
1910;;;45;CreateAppInsertIntoVm;true;3;25;;3;4
1910;;;45;MoveApp;false;5;56;;;0
1910;;;45;MoveVm;false;0;35;;;0
1910;;;45;DoNothing;true;0;0;;;0
1910;;;45;Outsource;true;50;0;;;0
1910;;;45;TurnOffPmAndMoveVms;false;0;33;;;0
1911;;;46;CreateVmInsertApp;false;0;37;;;0
1911;;;46;CreateAppInsertIntoVm;true;3;83;;6;4
1911;;;46;MoveApp;false;5;37;;;0
1911;;;46;MoveVm;false;0;75;;;0
1911;;;46;DoNothing;true;0;0;;;0
1911;;;46;Outsource;true;50;0;;;0
1911;;;46;TurnOffPmAndMoveVms;false;0;81;;;0
2044;;;47;CreateVmInsertApp;false;0;73;;;0
2044;;;47;CreateAppInsertIntoVm;true;3;100;;1;4
2044;;;47;MoveApp;false;5;74;;;0
2044;;;47;MoveVm;false;0;92;;;0
2044;;;47;DoNothing;true;0;0;;;0
2044;;;47;Outsource;true;50;0;;;0
2044;;;47;TurnOffPmAndMoveVms;false;0;60;;;0
2045;;;48;CreateVmInsertApp;false;0;77;;;0
2045;;;48;CreateAppInsertIntoVm;true;3;43;;6;4
2045;;;48;MoveApp;false;5;82;;;0
2045;;;48;MoveVm;false;0;11;;;0
2045;;;48;DoNothing;true;0;0;;;0
2045;;;48;Outsource;true;50;0;;;0
2045;;;48;TurnOffPmAndMoveVms;false;0;12;;;0
2046;;;49;CreateVmInsertApp;false;0;36;;;0
2046;;;49;CreateAppInsertIntoVm;true;3;58;;3;4
2046;;;49;MoveApp;false;5;93;;;0
2046;;;49;MoveVm;false;0;53;;;0
2046;;;49;DoNothing;true;0;0;;;0
2046;;;49;Outsource;true;50;0;;;0
2046;;;49;TurnOffPmAndMoveVms;false;0;97;;;0
2074;;;50;CreateVmInsertApp;false;0;80;;;0
2074;;;50;CreateAppInsertIntoVm;true;3;95;;6;6
2074;;;50;MoveApp;false;5;15;;;0
2074;;;50;MoveVm;false;0;43;;;0
2074;;;50;DoNothing;true;0;0;;;0
2074;;;50;Outsource;true;50;0;;;0
2074;;;50;TurnOffPmAndMoveVms;false;0;64;;;0
2075;;;51;CreateVmInsertApp;false;0;82;;;0
2075;;;51;CreateAppInsertIntoVm;true;3;39;;3;4
2075;;;51;MoveApp;false;5;10;;;0
2075;;;51;MoveVm;false;0;91;;;0
2075;;;51;DoNothing;true;0;0;;;0
2075;;;51;Outsource;true;50;0;;;0
2075;;;51;TurnOffPmAndMoveVms;false;0;45;;;0
2128;;;52;CreateVmInsertApp;false;0;50;;;0
2128;;;52;CreateAppInsertIntoVm;true;3;44;;6;4
2128;;;52;MoveApp;false;5;14;;;0
2128;;;52;MoveVm;false;0;37;;;0
2128;;;52;DoNothing;true;0;0;;;0
2128;;;52;Outsource;true;50;0;;;0
2128;;;52;TurnOffPmAndMoveVms;false;0;80;;;0
2129;;;53;CreateVmInsertApp;false;0;12;;;0
2129;;;53;CreateAppInsertIntoVm;true;3;82;;6;7
2129;;;53;MoveApp;false;5;75;;;0
2129;;;53;MoveVm;false;0;85;;;0
2129;;;53;DoNothing;true;0;0;;;0
2129;;;53;Outsource;true;50;0;;;0
2129;;;53;TurnOffPmAndMoveVms;false;0;18;;;0
2130;;;54;CreateVmInsertApp;false;0;47;;;0
2130;;;54;CreateAppInsertIntoVm;true;3;54;;4;4
2130;;;54;MoveApp;false;5;55;;;0
2130;;;54;MoveVm;false;0;60;;;0
2130;;;54;DoNothing;true;0;0;;;0
2130;;;54;Outsource;true;50;0;;;0
2130;;;54;TurnOffPmAndMoveVms;false;0;28;;;0
2142;;;55;CreateVmInsertApp;false;0;47;;;0
2142;;;55;CreateAppInsertIntoVm;true;3;91;;9;4
2142;;;55;MoveApp;false;5;80;;;0
2142;;;55;MoveVm;false;0;97;;;0
2142;;;55;DoNothing;true;0;0;;;0
2142;;;55;Outsource;true;50;0;;;0
2142;;;55;TurnOffPmAndMoveVms;false;0;75;;;0
2280;5;;;CreateVmInsertApp;false;0;20;;;0
2280;5;;;CreateAppInsertIntoVm;false;3;36;;;0
2280;5;;;MoveApp;false;5;42;;;0
2280;5;;;MoveVm;false;0;27;;;1
2280;5;;;DoNothing;true;0;0;;;0
2280;5;;;Outsource;false;50;0;;;0
2280;5;;;TurnOffPmAndMoveVms;true;0;49;;;0
2313;;;56;CreateVmInsertApp;true;20;86;5;;0
2313;;;56;CreateAppInsertIntoVm;true;3;100;;6;4
2313;;;56;MoveApp;false;5;86;;;0
2313;;;56;MoveVm;false;0;37;;;0
2313;;;56;DoNothing;true;0;0;;;0
2313;;;56;Outsource;true;50;0;;;0
2313;;;56;TurnOffPmAndMoveVms;false;0;13;;;0
2377;;;57;CreateVmInsertApp;false;0;64;;;0
2377;;;57;CreateAppInsertIntoVm;true;3;82;;7;5
2377;;;57;MoveApp;false;5;97;;;0
2377;;;57;MoveVm;false;0;46;;;0
2377;;;57;DoNothing;true;0;0;;;0
2377;;;57;Outsource;true;50;0;;;0
2377;;;57;TurnOffPmAndMoveVms;false;0;49;;;0
2378;;;58;CreateVmInsertApp;false;0;19;;;0
2378;;;58;CreateAppInsertIntoVm;true;3;3;;9;5
2378;;;58;MoveApp;false;5;15;;;0
2378;;;58;MoveVm;false;0;80;;;0
2378;;;58;DoNothing;true;0;0;;;0
2378;;;58;Outsource;true;50;0;;;0
2378;;;58;TurnOffPmAndMoveVms;false;0;20;;;0
2459;;;59;CreateVmInsertApp;false;0;32;;;1
2459;;;59;CreateAppInsertIntoVm;true;3;95;;8;5
2459;;;59;MoveApp;false;5;68;;;0
2459;;;59;MoveVm;false;0;16;;;0
2459;;;59;DoNothing;true;0;0;;;0
2459;;;59;Outsource;true;50;0;;;0
2459;;;59;TurnOffPmAndMoveVms;false;0;36;;;0
2487;;;60;CreateVmInsertApp;false;0;93;;;0
2487;;;60;CreateAppInsertIntoVm;true;3;30;;10;6
2487;;;60;MoveApp;false;5;93;;;0
2487;;;60;MoveVm;false;0;94;;;0
2487;;;60;DoNothing;true;0;0;;;0
2487;;;60;Outsource;true;50;0;;;0
2487;;;60;TurnOffPmAndMoveVms;false;0;95;;;0
2502;;;61;CreateVmInsertApp;false;0;67;;;0
2502;;;61;CreateAppInsertIntoVm;true;3;52;;8;5
2502;;;61;MoveApp;false;5;10;;;0
2502;;;61;MoveVm;false;0;82;;;0
2502;;;61;DoNothing;true;0;0;;;0
2502;;;61;Outsource;true;50;0;;;0
2502;;;61;TurnOffPmAndMoveVms;false;0;90;;;0
2533;;;62;CreateVmInsertApp;false;0;92;;;0
2533;;;62;CreateAppInsertIntoVm;true;3;55;;7;6
2533;;;62;MoveApp;false;5;51;;;0
2533;;;62;MoveVm;false;0;21;;;0
2533;;;62;DoNothing;true;0;0;;;0
2533;;;62;Outsource;true;50;0;;;0
2533;;;62;TurnOffPmAndMoveVms;false;0;8;;;0
2577;;;63;CreateVmInsertApp;false;0;76;;;0
2577;;;63;CreateAppInsertIntoVm;true;3;94;;8;7
2577;;;63;MoveApp;false;5;5;;;0
2577;;;63;MoveVm;false;0;30;;;0
2577;;;63;DoNothing;true;0;0;;;0
2577;;;63;Outsource;true;50;0;;;0
